Season	Total Rainfall (in)
1877	21.26
1878	11.35
1879	20.34
1880	13.13
1881	10.4
1882	12.16
1883	38.18
1884	9.21
1885	22.31
1886	14.05
1887	13.87
1888	19.28
1889	34.84
1890	13.36
1891	11.85
1892	26.28
1893	6.73
1894	16.11
1895	8.51
1896	18.83
1897	7.06
1898	5.59
1899	7.91
1900	16.29
1901	10.6
1902	19.32
1903	8.72
1904	19.52
1905	18.65
1906	19.3
1907	11.72
1908	19.18
1909	12.63
1910	16.18
1911	11.6
1912	13.42
1913	23.65
1914	17.05
1915	19.92
1916	15.26
1917	13.86
1918	8.58
1919	12.52
1920	13.65
1921	19.66
1922	9.59
1923	6.67
1924	7.94
1925	17.56
1926	18.03
1927	9.77
1928	12.66
1929	11.52
1930	12.52
1931	16.93
1932	11.88
1933	14.94
1934	21.66
1935	13.47
1936	22.41
1937	23.43
1938	13.07
1939	19.21
1940	32.76
1941	11.18
1942	18.17
1943	19.22
1944	11.59
1945	11.65
1946	12.36
1947	7.22
1948	7.99
1949	10.59
1950	8.21
1951	26.21
1952	9.46
1953	11.99
1954	11.94
1955	16
1956	9.54
1957	21.13
1958	5.58
1959	8.18
1960	4.85
1961	18.79
1962	8.38
1963	7.93
1964	13.68
1965	20.44
1966	22
1967	16.58
1968	27.47
1969	7.74
1970	12.32
1971	7.17
1972	21.26
1973	14.92
1974	14.35
1975	7.21
1976	12.3
1977	33.44
1978	19.67
1979	26.98
1980	8.96
1981	10.71
1982	31.28
1983	10.43
1984	12.82
1985	17.86
1986	7.66
1987	12.48
1988	8.08
1989	7.35
1990	11.99
1991	21
1992	27.36
1993	8.11
1994	24.35
1995	12.44
1996	12.4
1997	31.01
1998	9.09
1999	11.57
2000	17.94
2001	4.42
2002	16.42
2003	9.25
2004	37.96
2005	13.19
2006	3.21
2007	13.53
2008	9.08
2009	16.36
2010	20.2
